chest waist hip height weight cup shoe like
86 61 87 170 51 34B 37 1
80 60 88 174 50 0B 39 1
82 61 89 166 46 82A 36 1
80 65 85 173 50 0A 37 2
84 62 86 163 46 75C 37 2
90 62 87 161 40 0δ 35 3
82 64 88 172 47 34B 37 3
86 60 90 170 50 0B 37 2
85 87 61 172 51 34B 37 2
0 0 0 169 55 0δ 0 3
83 63 87 162 47 0B 36 3
0 0 0 168 70 0δ 0 3
83 61 85 165 43 0B 36 2
82 58 83 160 43 0δ 36 1
88 63 88 170 53 36C 38 2
85 85 58 170 46 32B 38 3
