chest waist hip height weight cup shoe like
88 90 63 167 45 11.25 37 1
80 66 89 170 56 11.25 36.5 3
85 60 92 162 47 12.5 37 3
75 46.0 60.5 155 43 10 36 2
54.5 46.0 60.5 167 47 10 38 2
34 27 34 168 90 10 36 2
75 65 87 165 45 12.5 36 1
82.5 62.5 91.5 168 50 12.5 37.5 1
82.5 60 91.5 159 42 12.5 38 1
89 65 90 162 98 15 37 1
76 49 93 176 46 15 38 3
100 82 86 162 50 15 38.0 3
83.0 60.5 87.5 172.0 50.5 12.5 38.0 3
86 61 87 170 51 12.5 37 1
80 60 88 174 50 12.5 39 1
82 61 89 166 46 10 36 1
80 65 85 173 50 10 37 2
84 62 86 163 46 15 37 2
90 62 87 161 40 12.5 35 3
82 64 88 172 47 12.5 37 3
86 60 90 170 50 12.5 37 2
85 87 61 172 51 12.5 37 2
83.0 62.0 86.0 169 55 12.5 36.0 3
83 63 87 162 47 12.5 36 3
82.5 59.5 84.0 168 70 13.75 36.0 3
83 61 85 165 43 12.5 36 2
82 58 83 160 43 13.75 36 1
88 63 88 170 53 15 38 2
85 85 58 170 46 12.5 38 3
